TEAM,W,L,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
Pacific,19,8,22.15,52.59,0.43,16.15,34.67,0.47,6.00,17.93,0.34,15.78,22.37,0.69,66.07,6.22,21.67,27.89,8.74,5.59,2.70,11.89,18.67
UC Davis,12,15,24.96,53.33,0.47,17.70,32.44,0.55,7.26,20.89,0.35,13.48,19.22,0.70,70.67,7.56,22.74,30.30,14.11,5.70,2.96,13.44,17.78
Hawaii,14,11,24.80,55.52,0.45,19.80,40.64,0.50,5.00,14.88,0.33,12.40,17.16,0.74,67.00,7.08,23.24,30.32,9.28,6.08,3.20,12.48,19.04
Brown,12,12,24.83,57.38,0.44,17.88,36.50,0.50,6.96,20.88,0.34,12.00,16.71,0.71,68.63,7.38,24.08,31.46,12.13,7.71,4.29,13.29,19.08
Yale,21,5,23.62,58.62,0.40,16.12,34.54,0.47,7.50,24.08,0.31,10.65,14.62,0.74,65.38,6.54,22.12,28.65,12.23,6.58,2.92,11.23,17.08
Marist,6,21,21.67,51.74,0.42,14.19,29.78,0.47,7.48,21.96,0.34,15.63,21.19,0.74,66.44,6.74,24.15,30.89,12.48,6.59,2.33,13.15,16.78
Northern Kentucky,20,8,24.04,57.79,0.42,18.29,38.32,0.48,5.75,19.46,0.28,11.36,17.25,0.65,65.18,9.82,24.00,33.82,12.68,5.50,2.04,13.71,18.57
Wright St.,22,6,25.96,63.29,0.41,20.07,42.89,0.47,5.89,20.39,0.29,11.96,16.89,0.71,69.79,10.25,23.82,34.07,10.57,6.39,2.82,14.00,20.43
Campbell,12,15,23.11,52.89,0.44,17.67,35.22,0.50,5.44,17.67,0.31,14.63,20.59,0.71,66.30,7.37,23.33,30.70,10.07,6.78,2.00,12.74,14.93
North Alabama,11,15,24.19,55.69,0.44,17.69,36.23,0.49,6.50,19.46,0.33,14.54,20.62,0.68,69.42,7.38,23.15,30.54,10.54,5.69,3.54,12.62,18.81
Merrimack,17,9,21.04,50.27,0.42,16.19,34.77,0.46,4.85,15.50,0.30,13.15,18.62,0.71,60.15,9.42,24.69,34.12,11.88,5.42,3.54,16.92,15.23
Chicago St.,3,22,27.24,56.00,0.49,18.00,33.36,0.54,9.24,22.64,0.41,17.20,23.28,0.75,80.92,8.48,23.12,31.60,16.00,8.32,1.84,11.40,19.04
Long Beach St.,10,18,26.82,61.29,0.44,18.14,36.04,0.50,8.68,25.25,0.34,12.89,18.18,0.70,75.21,9.79,24.07,33.86,15.61,8.07,2.64,13.36,18.79
